mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	6.0	1	4/4	3/2	0						firstMeasure	(2,)
2	2	6	6	6.0	1	4/4	3/2	0					line	start	(3,)
3	3	12	12	4.0	1	4/4	1	0							(4,)
4	4	16	16	5.0	1	4/4	5/4	0							(5,)
5	5	21	21	4.0	1	4/4	1	0							(6,)
6	6	25	25	5.0	1	4/4	5/4	0							(7,)
7	7	30	30	5.0	1	4/4	5/4	0							(8,)
8	8	35	35	5.0	1	4/4	5/4	0							(9,)
9	9	40	40	4.0	1	4/4	1	0							(10,)
10	10	44	44	5.0	1	4/4	5/4	0							(11,)
11	11	49	49	4.0	1	4/4	1	0							(12,)
12	12	53	53	4.0	1	4/4	1	0							(13,)
13	13	57	57	4.0	1	4/4	1	0							(14, 15)
14	14		61	4.0	1	4/4	1	0	1					end	(2,)
15	15	61	65	4.0	1	4/4	1	0	2			end		lastMeasure	(-1,)
